0s,1s,2s,3s,4s,5s,6s,7s,8s,9s,10s,11s,12s,13s,14s,15s,16s,17s,18s,19s,20s,21s,22s,23s,24s,25s,26s,27s,28s,29s,30s,31s,32s,33s,34s,35s,36s,37s,38s,39s,40s,41s,42s,43s,44s,45s,46s,47s,48s,49s,50s,51s,52s,53s,54s,55s,56s,57s,58s,59s
0.05041205973780449,0.059542287371025696,0.05046000128,0.05,0.05952380952380952,0.05045135344923433,0.05956913769053144,0.04089820243010969,0.059100001279999995,0.04084252506912899,0.059102693257654666,0.040880880824448074,0.0687374786356686,0.05082081948695451,0.05959000064,0.050429142300468854,0.05,0.04045908305512712,0.04,0.04,0.04,0.049590000640000007,0.05,0.04044865337117266,0.04,0.04,0.04955823293172691,0.05,0.04044999936,0.04,0.04,0.04955089878494516,0.04044999936,0.04955955958777596,0.04047808764940239,0.04957746602204794,0.04043912170039164,0.04,0.04952143572345774,0.04044176706827309,0.04767563207898817,0.055704535927302165,0.05582210276066,0.05708249588185058,0.06286141365590182,0.05707171442231076,0.059438315053002524,0.05065195269982445,0.06284569174774404,0.05714427851571993,0.06292707503230051,0.05708124290190526,0.06285857526875509,0.05715139569721116,0.0629423455500793,0.05702213241331283,0.06289999872,0.05712851534136547,0.06642430215139443,0.06
0.05074850372835177,0.03304865982610305,0.04588235294117647,0.06,0.053935232255294535,0.045894306341463416,0.050801605874354255,0.03127694859038142,0.0354228855721393,0.03956882255389718,0.0482580650032407,0.034282944496124027,0.046095042644628104,0.05,0.04187000064,0.056276278123168565,0.03562874179592919,0.03803960294151566,0.04810100985548411,0.04188,0.05624,0.03561561717777828,0.02187000064,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.025417661797779583,0.021863040764586714,0.02,0.02,0.04438247011952191,0.05812,0.027649402390438255,0.036208626918106446,0.056301507775581405,0.027425145539339953,0.03616683368949617,0.056270162580645156,0.02746507146154776,0.03622754570571442,0.0557628788035221,0.03583933852346276,0.038126252104047825,0.048154463271700754,0.041888669024105735
0.05142284679145853,0.04087426274253991,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.049270000640000006,0.040748503537117314,0.04,0.04,0.04,0.04,0.04,0.04,0.04928928869417971,0.04076540701587684,0.06777332366849821,0.04224775373469659,0.07722334225813662,0.042759997439999996,0.06776341785912775,0.04255193242005571,0.06747494957594544,0.04232628220431225,0.06738872420091163,0.042474845550080714,0.05828685047665964,0.04147922898076187,0.05854000128,0.04144144134909685,0.06797989769777543,0.042176936738218596,0.06794974887559405,0.04215139442231076,0.06784000000000001,0.051402807996433444,0.0685074613178881,0.05150000128,0.06844466354889486,0.060780001279999996,0.06923847685623752,0.05168483531003911,0.040813252369477915,0.04,0.04,0.04,0.04787800632302406,0.040927710215357724,0.04,0.04926853762161605,0.040794438877016795
0.05,0.05,0.04189810281275151,0.04813253092563044,0.04186813214916946,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04812749003984064,0.04188811136946966,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04812,0.04191235059760956,0.04,0.048124372357030924,0.05812187800179839,0.051888111369469664,0.0662688087474461,0.05375249453061946,0.06625625521481449,0.045561121033891275,0.056186693390319384,0.043775100401606426,0.06433566589159104,0.053747495791904354,0.06627627812316858,0.04553106141485385,0.06443114084549505,0.05370370218514821,0.058158158276154025,0.051831832355117846,0.058161838044313324,0.05186440729878159,0.05810568179584882,0.06,0.06,0.0519586620472441,0.05,0.05809950221382644,0.051852970914995106,0.05,0.04189054817613408,0.04,0.04,0.04,0.04,0.04,0.04,0.04
0.05784646075555983,0.04210631780822903,0.05891891898817736,0.048991674907925255,0.03969598260645265,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02896586281124498,0.021066800171211156,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.032014098820646854,0.047862136993476224,0.03106212310215607,0.04322388080231679,0.06689758843373494,0.04,0.042095807373516314,0.0579254769257105,0.04109561852541998,0.05105788308923058,0.05791583193063478,0.041061059983707224,0.05214214328618902,0.06567567595270946,0.032164845219116465,0.051022045239657525,0.05792207778922375,0.04206827437751004,0.05786213699347622,0.04,0.043156311106220265,0.06571142083059933,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04993852327868853,0.04007984032956044,0.049939878484664885,0.3866135882998791,0.03324321997240637,0.03,0.0200302121190325,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02950000128,0.04,0.044755731860053,0.05,0.045254237590955926,0.04,0.04,0.04,0.04,0.04468999936,0.04529588800294567,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04471641693716486
0.02711000064,0.022904522530319923,0.027077533890731274,0.02289156626506024,0.03584,0.04709163346613546,0.03711133381657509,0.0357910464185343,0.05,0.04420579639277819,0.03576846253329661,0.05,0.04419419564092649,0.03582000128,0.04709870343537685,0.04,0.04585999872,0.051245021832669324,0.03289869563241376,0.04574237990905832,0.05442190611967142,0.04290160578313253,0.04418073501757808,0.03288016186002913,0.04585999872,0.05121000192,0.03585999872,0.04174648018007017,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.022850098347941408,0.038384148292682926,0.05127872103345211,0.03,0.038069818077067025,0.05425149627164823,0.03712851350913709,0.03581745016280523,0.04707292752514222
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0658509549210641,0.031753373318335054,0.027874999999999997,0.02204,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02791164658634538,0.022064129274340132,0.02,0.02,0.02,0.04375375415391365,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.037604790113186765,0.04622509896414343,0.04,0.04758274616378712,0.04860419007909455,0.037582746163787116,0.05377601546250247,0.049186046511627904,0.033541666666666664,0.043788633855959554,0.04620342436759231,0.043813306609680615,0.04245245421726019,0.03376493992412811,0.0475025086454547,0.05242972016064257,0.04381381390615843,0.03858565645624696,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.027607607120233378,0.04760479011318676,0.04477911389558233,0.027629483346613547,0.047572427398695244,0.04864865031085171,0.03379379419138856,0.047599999999999996,0.04858858931964993,0.033702623515031976,0.04722792512815768,0.044910182822857685,0.02755020080321285,0.047615231437624875,0.04855144691121098,0.037635270237790175,0.04618145523867086,0.04,0.04753012176706827
0.04322388080231679,0.06689758843373494,0.04,0.042095807373516314,0.0579254769257105,0.04109561852541998,0.05105788308923058,0.05791583193063478,0.041061059983707224,0.05214214328618902,0.06567567595270946,0.032164845219116465,0.051022045239657525,0.05792207778922375,0.04206827437751004,0.05786213699347622,0.04,0.043156311106220265,0.06571142083059933,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.031527776507936506,0.05071651019121843,0.05683582451491818,0.032024047073224475,0.05206827437751004,0.06679320549021434,0.0410642560165156,0.052186880994114546,0.06583166386126957,0.03211999744,0.051061059983707226,0.05678678507071647,0.032155688347377136,0.05,0.05,0.05104685898404479,0.05692770777761728,0.03105999872
